Name, Kontinent, Nahrung, Klasse, Lebens­dauer, Sozial­verhalten,
antilope, afrika, pflanzen, säuge­tier, 15, herden­tier,
chamäle­on, afrika, fleisch, reptil, 7, einzel­gänger,
elefant, afrika, pflanzen, säuge­tier, 70, herden­tier,
giraffe, afrika, pflanzen, säuge­tier, 25, herden­tier,
gorilla, afrika, alles­fresser, säuge­tier, 40, rudel­tier,
kroko­dil, afrika, fleisch, reptil, 70, einzel­gänger,
löwe, afrika, fleisch, säuge­tier, 15, rudel­tier,
nilpferd, afrika, pflanzen, säuge­tier, 40, herden­tier,
zebra, afrika, pflanzen, säuge­tier, 20, herden­tier,
blauer pfau, asien, alles­fresser, vogel, 15, einzel­gänger,
komodo­waran, asien, fleisch, reptil, 30, einzel­gänger,
leopard, asien, fleisch, säuge­tier, 17, einzel­gänger,
orang-utan, asien, pflanzen, säuge­tier, 40, einzel­gänger,
panda, asien, pflanzen, säuge­tier, 20, einzel­gänger,
tiger, asien, fleisch, säuge­tier, 13, einzel­gänger,
emu, austra­lien, alles­fresser, vogel, 15, einzel­gänger,
koala, austra­lien, pflanzen, säuge­tier, 15, einzel­gänger,
känguru, austra­lien, pflanzen, säuge­tier, 20, herden­tier,
schnabel­tier, austra­lien, fleisch, säuge­tier, 15, einzel­gänger,
dachs, europa, alles­fresser, säuge­tier, 10, rudel­tier,
luchs, europa, fleisch, säuge­tier, 15, einzel­gänger,
feuer­salamander, europa, fleisch, amphi­bie, 25, einzel­gänger,
reh, europa, pflanzen, säuge­tier, 10, einzel­gänger,
rote eich­hörnchen, europa, alles­fresser, säuge­tier, 3, einzel­gänger,
rot­fuchs, europa, alles­fresser, säuge­tier, 7, rudel­tier,
alli­gator, nord­amerika, fleisch, reptil, 50, einzel­gänger,
bison, nord­amerika, pflanzen, säuge­tier, 20, herden­tier,
grizzly­bär, nord­amerika, alles­fresser, säuge­tier, 25, einzel­gänger,
puma, nord­amerika, fleisch, säuge­tier, 15, einzel­gänger,
schnapp­schild­kröte, nord­amerika, alles­fresser, reptil, 100, einzel­gänger,
weiß­kopf­seeadler, nord­amerika, fleisch, vogel, 25, einzel­gänger,
eis­bär, polar, fleisch, säuge­tier, 25, einzel­gänger,
kaiser­pinguin, polar, fleisch, vogel, 20, herden­tier,
orca, polar, fleisch, säuge­tier, 80, rudel­tier,
ringel­robbe, polar, fleisch, säuge­tier, 25, rudel­tier,
schnee­eule, polar, fleisch, vogel, 15, einzel­gänger,
wal­ross, polar, fleisch, säuge­tier, 40, rudel­tier,
alpaka, süd­amerika, pflanzen, säuge­tier, 20, herden­tier,
ana­konda, süd­amerika, fleisch, reptil, 30, einzel­gänger,
capy­bara, süd­amerika, pflanzen, säuge­tier, 10, herden­tier,
gürtel­tier, süd­amerika, alles­fresser, säuge­tier, 15, einzel­gänger,
jaguar, süd­amerika, fleisch, säuge­tier, 15, einzel­gänger,
pfeil­gift­frosch, süd­amerika, fleisch, amphi­bie, 5, einzel­gänger,
tapir, süd­amerika, pflanzen, säuge­tier, 30, einzel­gänger,
